Rank,CWE,NVD Count,Avg CVSS,Overall Score
[1],CWE-79,3788,5.8,46.82
[2],CWE-787,2225,8.31,46.17
[3],CWE-20,1910,7.35,33.47
[4],CWE-125,1578,7.13,26.5
[5],CWE-119,1189,8.08,23.73
[6],CWE-89,901,8.98,20.69
[7],CWE-200,1467,6.01,19.16
[8],CWE-416,918,8.26,18.87
[9],CWE-352,866,8.08,17.29
[10],CWE-78,767,8.52,16.44
[11],CWE-190,846,7.7,15.81
[12],CWE-22,792,7.27,13.67
[13],CWE-476,529,6.83,8.35
[14],CWE-287,412,8.05,8.17
[15],CWE-434,346,8.5,7.38
[16],CWE-732,426,6.99,6.95
[17],CWE-94,295,8.74,6.53
[18],CWE-522,283,7.92,5.49
[19],CWE-611,277,7.88,5.33
[20],CWE-798,234,8.76,5.19
[21],CWE-502,217,8.93,4.93
[22],CWE-269,278,7.36,4.87
[23],CWE-400,249,7.09,4.14
[24],CWE-306,193,8.1,3.85
[25],CWE-862,236,6.9,3.77
[26],CWE-426,175,7.68,3.25
[27],CWE-918,161,7.85,3.08
[28],CWE-295,180,7.19,3.04
[29],CWE-863,189,6.82,2.97
[30],CWE-284,173,7.22,2.94
[31],CWE-77,131,8.46,2.77
[32],CWE-401,189,6.43,2.72
[33],CWE-532,154,6.82,2.42
[34],CWE-362,157,6.68,2.39
[35],CWE-601,176,6.12,2.35
[36],CWE-835,150,6.72,2.3
[37],CWE-704,109,8.48,2.3
[38],CWE-415,117,8.04,2.3
[39],CWE-770,139,7.06,2.29
[40],CWE-59,122,7.07,2.01
